,Review
1,원작은 연재로 봤었는데 웹툰은 연재로 보기에는 너무 감질나서 책 나오기만 기다렸다가 구매했습니다. 정말 웹툰은 종이책으로 보는게 더 취향이라서요. 넘 연결되면서 보이는게 집중이 안되서 그런가 웹툰은 연재로 못보겠어요 어쨌든 작화도 취향이고 속도감은 물론 캐릭터들의 매력이나 전투신들도 잘 살려서 그런가 웹툰도 정말 좋아요. 몇권까지 나올지는 모르겠지만 우선 소장용으로 계속 구매합니다
2,"""전지적 독자 시점 2권 초판 한정 부록 포함입니다.1권에서 독자(주인공 말고 읽는 사람!)들을 혼란스럽게 만들던 부분들이 많이 해소되었고 무엇보다 흡입력이 좋아 쑥쑥 읽혔습니다. 1권에서는 벌레가 나오는 씬이 너무 리얼해서 가렸는데 2권은... 나왔는지 기억이 안나네요....길영이가 벌레를 다루기는 하는데 덩치가 큰 뭐랄까, 자이언트 벌레?를 사용해서 (종 이름은 스포라 비밀) 오히려 비현실적이라 볼 수 있는데 작은게 오밀조밀 모여 있으면 정말.....눈물부터 나는 ㅠㅠㅠㅠㅠ너무 재밌는데 그거 딱 하나 때문에 보기가 힘들어요  """
3,"""에이템포미디어에서 출간 된 싱숑 작가님의 작품을 슬리피-C 작가님이 웹툰화한 작품의 단행본을 구매하였습니다. 웹소설 원작은 읽지 않았지만, 웹툰이 인기가 많아서 관심을 가지고 있던 찰나에 사은품을 위해 일정 금액을 채워야해서 이번 기회에 구매하게 되었습니다. 읽어보니 왜 인기가 있는지 알 것 같습니다. 이제 4권이 나왔는데 아마 꽤나 긴 장편이 될 것 같아 마음의 준비를 하고 모아야겠습니다. """
4,전지적 독자 시점 2권 싱숑원작 작품입니다.이 작품은 주변의 추천으로 구매를 하게 되었는데 아직도 초판이 남아 있는 걸로 보아 인쇄를 좀 많이 찍어나 싶습니다.해외판보다는 많이 아쉬운 구성인데 요즘 우리나라 웹툰임에도 국내 독자들 보다해외 독자들을 더 신경 써주면서 가격대비 굿즈 구성도 좋지도 않게 나옵니다.그래도 부록이 없는 것 보다는 낫긴합니다.그림도 좋아서 눈이 즐겁네요.
5,"""원작인 소설이 워낙 대박을 친 대메이저 작이고 저도 그 매력에 빠진 독자 중 한명이라 솔직히 웹툰에 대한 기대도 컸었는데, 이 정도면 나름 원작의 매력을 잘 뽑은 각색과 작화라고 생각해서 만족스러웠습니다. 각 인물들 포인트도 잘 잡은 것 같고 활자와 제 상상으로만 이루어졌던 존재들이 좀 더 생생하게 와닿아서 좋았어요. 조금 아쉬운 부분들도 있었지만 꾸준히 볼 것 같습니다."""
6,전지적 독자시점 2권입니다 전지적 독자시점은 워낙 유명해서 알고는 있었는데 소설의 양이 너무 방대해서 업두를 못내고 있었는데 어느날 웹툰이 나왔다고 해서 잘됐다 하면서 웹툰을 봤는데 그림체랑 내용이 정말 찰떡이여서 하루만에 다 봐버렸네요 ㅎㅎ 그 다음 내용이 너무 궁금해서 바로 소설도 질러서 봐버렸네요 ㅎㅎ 진짜 사람들이 왜 그렇게 좋아하는지 알 것 같습니다 ㅎ 웹툰이 나와서 바로 질렀습니다 다음권이랑 소설도 단행본이 나오면 같이 지를 생각입니다 ㅎ
7,"""슬리피-c 글그림, 싱숑 원작의 웹툰 전지적 독자시점2 리뷰입니다.1권을 읽고 2권을 얼른 읽었네요.그림체가 너무 취향 저격이고, 글이 아니라 그림이니 더 가독성이 좋았던 것 같습니다.캐릭터마다 생명을 불어넣으니 다들 주요 인물들 같고, 기억도 잘 되는데요. 무엇보다 그 내용이 눈에 보이는 것 같아 아주 시각효과가 좋은 것 같습니다.3권, 4권도 얼른 출간되었으며 좋겠습니다."""
8,"""놈이 온다. 이 이야기의 ‘진짜’ 주인공. 나는 네놈을 좋아했고, 싫어했고, 원망했고, 응원했다. 그렇게 3천 편의 이야기를 함께했다.전지적 독자 시점 2권 리뷰입니다. 1권에 이어 2권도 소장하게되어 너무 좋아요 원래 재탕을 좋아해서 웹툰말고도 소장본을 구매하게되었는데 후회 없습니다 아직 너무 초반이라 이런저런 할말이 없지만 앞으로 너무 기대됩니다 """
9,사실 소설로는 보지 못했고 웹툰을 보고 너무 재미있어서 단행본 책으로 나오길 기대했던 책입니다. 핸드폰으로 보는 것만큼 화질이 선명하진 않지만 책으로 보는 것은 또 다른 느낌이 들어서 좋은 것 같습니다. 스토리 전개 말이 필요없고 그림도 너무 깔끔하고 이뻐서 소장용으로 충분히 가치가 있는 것 같아요. 궁금해서 어서 다음권이 빨리 나오길 기다리고 있습니다.
10,"""                소설로 아는 내용을 만화로 새로 보니 새롭네요. 만화라서 좀 더 부드러운 느낌으로 캐릭터들이 표현되는 느낌인데 그 와중에도 원작에서 느꼈던 씁쓸한 분위기? 그런것들이 잘 표현되서 너무 좋았어요 ㅎㅎ그림체도 다들 잘생기고 이뻐서 좋네요. 그리고 개인적인 재발견... 초반에 유상아, 정희원은 원작에서 그렇게 임팩트가 없었는데 만화로 다시 보니 초반부터 존멋 캐릭터로 나와서 좋았어요.아직 전개가 갈 길이 먼데 남은 이야기들은 만화로 어떻게 표현될지도 기대됩니다.                """
11,전지적 독자 시점 2권 리뷰입니다. 소설 단행은 아니고 웹툰 단행이예요. 배송은 빠르게 아무 이상없이 잘 왔네요! 확실히 스크롤 웹툰이랑 단행본 컷 편집된 것을 보는 것은 생각보다 차이가 크네요. 물론 웹툰도 꼬박 전 화 소장하면서 보는 중!! 살짝 아쉬운건 제가 금전적인 이유로 초판을 구매하지 못했다는 겁니다 ㅜㅜㅜ 1권만 다른 곳에서 초판 구매 했네요. 정말 캐디가 하나하나 제가 생각한 것과 비슷하고 작화도 정말 탑급입니다. 소설도 다 샀는데 아직 못보고 있어요 ㅋㅋㅋ 과연 이것도 얼마가 연재할 지 모르겠네요! 빠르게 완결 되었으면 좋겠네요
12,사실 소설은 전혀 보지 못하고 해당 웹툰을 접하였습니다. 회귀물을 처음 접하였는데 아주 재밌게 보았습니다. 요즘이런 회귀물들이 아주많지만 단연 스토리도 탄탄하고 떡밥 회수도 잘하고 그림체도 좋고 단연 탑급 작품입니다. 얼른얼른 완결까지 후다다다다닥 나왔으면 좋겠습니다. 얼른얼른 완결까지 후다다다다닥 나왔으면 좋겠습니
13,드디어 전독시 웹툰 단행본이 나오네요. 소설 단행본이 더 먼저 나오길 기대했지만 웹툰 단행본도 너무 좋습니다. 실물 배송도 손상없이 무사히 도착했습니다. 2권도 세로 스크롤 형식의 웹툰을 가로로 단행본 형식으로 편집하면서 깔끔하게 잘 마무리하신 거 같고요. 김컴 포토카드 너무너무 같고 싶어서 초판일 때 구매했습니다. 겉표지 재질이 좀 독특하긴 한데 별 지장 없어요.
14,"""싱숑 원작 판타지 소설을 웹툰으로 한 전지적 독자 시점입니다. 네이버 시리즈에 연재한 소설 1딱 1편만 읽었어요. tts가 안되어서 전자책 간행 이후에 봐야겠더라고요. 1화만 봤는데 엄청 궁금했지만 제 눈은 소중하니까요. 네이버 시리즈가 tts까지 되면 전자책 단행본아마 안 살것 같기는 합니다. 웹툰으로 연재된줄 도 몰랐는데 이렇게 인기가 많아서 단행본으로 2권까지 나왔습니다. 예약구매했는데 적정한 기다림 후에 받은 것 같아요. 비닐 개봉하니 새 책 냄새랄까요 잉크 냄새랄까요 오랜만에 맡아보는 냄새라 기분 좋았습니다. 책 내부에 카드 3장있는데 이길영, 유중혁, 정희원나왔어요. 유중혁은 표지의 인물인데요 원작도 안 읽어보고 구입한 책이라 김독자 말라고눈 아무것도 몰라요 후속 나왔으면 좋겠습니다. 책은 천천히 두고두고 볼께요"""
0,워낙 유명한 책이라 소설 웹툰 다 읽으며 소장하고 싶어서 구매했습니다.^^독자가 오랜시간동안 읽는 사람이 없는 소설의 유일한 독자이기에 작가가 보내준 선물 파일엔 지하철 혼돈의 상황일때 도움이 되게 멸살법txt 파일을 보내줍니다^^ 그리고 이 지하철 칸에있는 3807의 사람들은 원래 죽어야하고 원래는 살아남았을 멸살법에서 가장 빠르게 적응을 마친 김남운이 살아남아야하지만 독자가 잘~ 해결합니다! 김남운 처리하고 한명운 부장은 좀 박쥐같은 스타일이라 얘도 같이 없음 좋았을텐데 한명운은 운도 좋게 같이 살아남긴합니다.^^;작가님이 정말 천재같은게 전개자체가 스릴있고 종이책으로 소장하니 너무 좋아요.
1,"""슬리피-C 글그림/UMI 각색/싱숑 원저 님의 전지적 독자 시점 1~2권 세트 리뷰입니다. 원작이 워낙 유명한 소설이라 처음 웹툰이 나온다고 했을 때 걱정했었는데 그 걱정이 무색할 만큼 각색도 잘 되고 그림체도 좋아서 종이책까지 구매하게 되었습니다. 각 권 캐릭터 카드는 1권은 김독자, 비형, 이현성이고 2권은 정희원, 유중혁, 이길영으로 되어 있습니다. 2권에 잠깐 유중혁이 나왔는데 다시 나오기 까지 오래걸릴 것 같네요. 이 뒤로 웹연재는 안봐서 어디까지 연재되었는지 못봤지만 앞으로도 종이책을 구매할 것 같네요. 잘 읽었습니다."""
2,슬리피-C 글그림/UMI 각색/싱숑 원저 - 전지적 독자 시점 1~2권 세트원작이 워낙 유명한 판타지 소설이라 웹툰으로 각색을 어떻게 했을까 무척 기대를 했던 작품연재로도 다 소장 중이지만 이렇게 단행본으로 한정판 사은품까지 소장할 수 있어서 더 가치가 있던..원작 소설 속 캐릭터를 작화로 잘 구현해내서 보는 맛이 더해진 만화였습니다.소설 속 유명 대사와 장면들을 최대한 반영해 신경 쓴 것도 맘에 들었던..
3,소설 본편보다 단행본이 먼저 나온 웹독시 ㅎㅎㅎㅎ아니 근데 진짜그림도 넘 멋지고 예쁘고 각색도 엄청 잘 되어있어서......괜히 팀짜서 웹툰 만든 게 아니구나 싶더라고요.(전독시 웹툰 제작에 참여하신 모든 분들이 적절한 수입을 얻으시기를 바랍니다!!!)방대한 스토리를 웹툰으로 다 만들려면 진짜 10년 걸리는 거 아닌가 싶긴 한데10년동안 쭉(?) 잘 내주시기 바랍니다!
