,Review
45,"""                물량을 많이했는지 아직까지 판매해서 놀랐습니다ㅋㅋ 전독시의 인기를 잘아는구만 1,2권 샀던게 어제같은데 생각보다 빠르게 나왔어요1,2권때보다 구성이 알차서 좋습니다. 가격대비 완전 혜자같아요3만원 안넘는 자체로 행복합니닼ㅋㅋㅋ 앞으로 이정도 가격으로만 내주세여...ㅜㅜㅋㅋㅋ 4권은 언제나올지 모르지만 구성 너모 기대됩니다 소설도 몇 개월있음 나오는데 구성 빵빵하게해서 나와주길                """
46,"""일단 굿즈 구성이 알찹니다.다양하게 이것저것 많더라구요.웹툰 소장용으로 책도 사고 있는데 공식굿즈도 이렇게 같이 살 수 있어서 너무 좋습니다.수량제한 이런거 없이 많은 분들이 나중에라도 입덕하셨을 때 구매가능했으면 좋겠어요.증명사진이나 채널가입서,일러스트보드 등 팬분들이 좋아하실 만한 구성입니다.책 내용이야 웹툰 그대로지만 역시나 스크롤 편집과 책 제본 편집은 달라서 그런지 보는 맛이 또 다릅니다.파본확인하면서 펼쳤는데 어느새 다시 읽기 하고 있더라구요ㅋㅋㅋ편집과 구성이 역동적이어서 스크롤 화면 못지 않게 제본버젼도 좋았습니다.원래 이렇게 나왔던 것처럼요.3권은 독자일행들이 드디어 충무로 입성해서 건물주 연합을 만나게 됩니다.그리고 중혁이가 마지막에 뙇하고 등장해 줍니다!!하..지면으로 봐도 잘생겼네요ㅋㅋ다음권은 어떤 구성으로 나올지 기대됩니다."""
47,전지적 독자 시점 3 스페셜에디션에 대한 리뷰입니다. 스페셜에디션 구성이 마음에 들어요. 제가 살다살다 전독시 장르 파면서 공식 증명사진을 가지게 될 줄은 몰랐습니다. 이제 휴대전화 뒷면에 최애 증명사진 끼고 다니는 거 할 수 있어서 행복합니다... 그리고 투명포카가 너무 예뻐요. 아이돌 팬인 친구들 만났을 때 포카 슬쩍 내밀수 있게 됐네요... 행복합니다. 단행본이 빨리빨리 출간 되는게 참 흐뭇하네요. 전독시 웹툰 마지막 단행본까지 꾸준히 구매하겠습니다.
48,전독시 3권까지 단행본이 빠르게 나오고 있어서 너무 기쁩니다 1~2권 나오고 3권도 기대하고 있었는데 역시 기대를 저버리지 않네요 조금 슬프게도 슬립 케이스 모서리에 하자가 생기는 바람에 안에 있던 책 모서리에도 하자가 생겨서 문의드렸어요 아무튼 전독시 3권 안에 들어있는 9종 굿즈 하나하나 너무 이뻐요ㅜㅠ 다행히 굿즈들은 하자가 없어요 다음 4권도 기대하겠습니다
49,너무나도 유명한 전지적 독자 시점의 3권과 스패셜 에디션이 나온다고 아이가 몇날 몇일을 조르기 시작하여 미리 예약하여 구매하였습니다. 저도 지금 읽고 있는데 정말 너무나 재미있어서 아이가 왜 빠졌는지 알게 되었습니다. 물론 구원튀는 정말 별로지만 읽는 동안은 시간이 지나가는것도 모르겠더라구요. 그리도 스패셜 에디션으로 사진은 정말 멋지더라구요. 앞으로 다른 글들도 많이 기대하고 있습니다.
50,2021년 07월  에이템포미디어 출판사에서 출간한  전지적 독자 시점 3 스페셜 에디션  리뷰입니다. 이 리뷰는 책에 대한 스포일러가 포함되어 있을 수 있습니다. 아직 책을 안 읽으신 분들이나 책에 대한 스포일러를 원하시지 않는 분들은 주의하여 읽어주시길 바랍니다.이번에 특전 넘 예뻐요! 이 구성에 이 가격이라서 만족합니다. 그리고 단행본도 넘 예뻐요! 빨리 다음 4권도 보고싶네요.
51,구성이 너무 좋아요!! 3권이 나왔다는 소식을 듣고 일단 구매한 후에 구성을 확인했는데 솔직히 이 정도로 좋을 줄은 몰랐어요 후회 절대 안합니다 ㅋㅋ 한 번 빼고 나면 다시 넣기 힘들지만 굉장히 만족스러워하고 있습니다!! 다만 약간씩 까진 ? 곳이 있다는 게 흠이네요ㅠㅠ 다른 분 리뷰 봤을 때 공필두만 두장 나왔다는 걸 보고 불안해했는데 저는 유상아랑 공필두 각각 한 장 씩 왔습니다!
52,"""                오늘 배송온다는 문자에 신나게 택배 받고 뜯었는데 일단 굿즈 구성 미쳤습니다ㅠㅠ 무광케이스도 너무 예쁘고 굿즈들도 너무 예쁘고 비형스티커 너무 귀여워서 심장 부여잡았네요그런데... 단행본 뜯어서 포토카드를 확인해보니 원래 공필두, 유상아 2장 오는걸로 알고 있는데....공필두만 2장이라뇨ㅠㅠㅠㅠ 제 유상아씨 돌려주세요ㅠㅠㅠㅠㅠ 굿즈 보고 들뜬 마음 공필두 2장 보고 팍 식었네요.."""
53,재질도 고급스럽고 구성도 좋아요~ 약간 지문? 손자국이 남는거만 빼면 마음에 들어요. 캐릭터들 증사도 그렇구 투명 책갈피나 스타스트림 계약서 ㅋㅋㅋ 그리고 비형이... 귀여워요 ㅋㅋㅋㅋ 처음 소설 읽을때만해도 비형이 이런 마스코트캐릭터가 될줄 몰랐는데 ㅋㅋㅋㅋ아무튼 믿고보는 웹독시~~ 한권씩 다 모아서 언젠가 완결났을때 책장에 예쁘게 진열해두고 싶어요 !
54,"""                전독시를 너누 늦게 알게 되는 바람에 한정판으로 산게 3권이 처음인데 통장 잔고 다 털어가면서 구매한 보람이 있네요ㅠㅠ진짜로 받자마자 하늘 날라갈뻔했어요ㅠㅠ3권 배달 오면 1,2권도 사려고 벼루고 있었는데 진짜 너무 행복합니다ㅠㅠ책이랑 커버에 살짝 까진곳과 긁힌 자국이 부분부분 있긴 했는데 그래도 이정도면 괜찮겠다 싶어서 그냥 냅두고 지내려구요ㅠㅠ굿즈 구성도 미쳤던데 이렇게 내주셔서 너무 감사해요 진짜ㅠ진짜 완전 너무 정말 리얼로 감사합니다ㅠㅠㅠㅠㅠㅠㅠㅠ"""
0,전지적 독가 시점 3연재를 접하다 소장하고파서 구매한 책그림체도 이쁘고 너무나 사실적으로 잘 그려서 그럼만봐도 시간가는줄 모르고 보게 되는 책입니다 과거로 회귀해서 펼쳐지는 판타지 무협이라 장르롤 얘기하고 싶어요 한권한권 읽다보면 작가님의 상상력에 박수를 치고 있는 저자신을 보게되네요 재밌어요 연재로 보기에는 아까워 책을 욕심내어 소장하고 있는데 돈이 아깝지 않아요 꼭 보세요 추천해요 연령대 상관없이 읽을수있어요 아이와 다같이 보고 있어요 삽화도 너무나 잘 그렸고 내용도 평법하지 않아요 판타지 장르를 자주 접하지 않은 독자에게도 부담없이 절할수있을꺼예요 다음권 사러 갑니다 강추해요 소장하세요
1,전지걱 독자 시점 2아들이 타사에서 매일매일 하루 한편씩 업데이트 해주는걸 읽어보기에 책으로 소장하게 해주자 싶어 1권을 구매하고 읽어보고 재밌있어 이젠 아들보다 제가 더 좋아하게된 책이런 장르의 책을 읽어보지 않았는데 그림체도 생각보다 내 취향이다 어쩜 그림이 저렇게 리얼하고 그릴수있나 감탄에 감탄을 하면서 페이지를 한장씩 넘겨보고 있어요 내용도 내용이지만 삽화가 더 눈에가네요 이런 장르를 좋아하지 않는 독자도 빠져들게 되는 전독시 너무 재밌고 삽화가 좋아서 다음권도 주문했어요 소장추천합니다 이런책을 소장하고 재탕을 해야해요 한번 읽어볼때랑 재탕할때랑 느낌이 또 다릅니다 꼭 읽어보고 소장하시라 강추합니다
2,우와 작가님의 사인을 꼭 받고 싶어요.제가 아니더라도 이런 경험을 할 수 있어서 좋은것 같습니다. 다음에도 또 해 볼께요????? 진짜 가고 싶다 제발 제발?? 작가님 사인을 실물로 보고 싶다. 제발 저 나오게 해주세요. 이것은 받고 싶어서 노력을 기울고 있어요 화이팅!https://twitter.com/gy_books/status/1571702958735360000?t=92cc2LwkTm20MF7qVcFITw&s=19
3,기대보다 웹툰에서 전투신이라던가 캐릭터들의 매력 그리고 몹들까지 잘 살린거 같아서 재밌게 봤습니다. 소설로 볼 때는 별 생각없이 넘어갔던 장면들도 있었는데 웹툰으로 만화로 보게 되다 보니 영상과 상상이 다르다는걸 새삼 느끼기도 하고 작가님이 잘 살린 장면들이라던가 실제 눈으로 보게 된 몹들의 모습이라던가 상상과 다르지만 그 나름의 매력이 더 잘살아서 그런가 재밌었어요
4,원작은 연재로 봤었는데 웹툰은 연재로 보기에는 너무 감질나서 책 나오기만 기다렸다가 구매했습니다. 정말 웹툰은 종이책으로 보는게 더 취향이라서요. 넘 연결되면서 보이는게 집중이 안되서 그런가 웹툰은 연재로 못보겠어요 어쨌든 작화도 취향이고 속도감은 물론 캐릭터들의 매력이나 전투신들도 잘 살려서 그런가 웹툰도 정말 좋아요. 몇권까지 나올지는 모르겠지만 우선 소장용으로 계속 구매합니다
5,애가 좋아하는 책이에요. 사실 제목만 봐서는 이게 뭔가 했는데 아이가 웹툰이라고 하면서 열심히 보더라구요. 웹툰으로 열심히 보다가 책이 나오면 구매하고 하네요. 판타지적인 부분이 많아서 아이가 상상력을 개발하기에 좋은 책인 것 같아요. 머리를 식히면서 조금씩 재미있게 보고 있어서 나도 만족합니다. 많은 사람들이 좋아하는 웹툰인 것을 보니 좋은 책인 것 같네요.
6,"""전지적 독자 시점 2권 초판 한정 부록 포함입니다.1권에서 독자(주인공 말고 읽는 사람!)들을 혼란스럽게 만들던 부분들이 많이 해소되었고 무엇보다 흡입력이 좋아 쑥쑥 읽혔습니다. 1권에서는 벌레가 나오는 씬이 너무 리얼해서 가렸는데 2권은... 나왔는지 기억이 안나네요....길영이가 벌레를 다루기는 하는데 덩치가 큰 뭐랄까, 자이언트 벌레?를 사용해서 (종 이름은 스포라 비밀) 오히려 비현실적이라 볼 수 있는데 작은게 오밀조밀 모여 있으면 정말.....눈물부터 나는 ㅠㅠㅠㅠㅠ너무 재밌는데 그거 딱 하나 때문에 보기가 힘들어요  """
7,전지적 독자 시점 1권 초판 한정 부록 포함입니다이제 막 시작되는 부분이라 엥...? 음...? 하는 부분이 아직 많아요.특히 성좌물이라는 소재를 거의 처음 접하는거라 진짜 많이 헷갈렸어요. 그래도 지금은 4권까지 발매됐고 웹툰으로는 더 많이 나와서 쭉 몰아보면 아하! 하고 알아차리는 부분이 생겨서 읽기 쉬워졌습니다. 흡입력도 좋고요.단지 벌레를 전혀 못 보는데 그 부분이 너무 리얼하게 그려저서......ㅠㅠㅠ 아예 포스트잇 붙여서 가려놨습니다... 1권에 정말정말 큼직하게 나오니까 마찬가지로 벌레 못 보시는 분은 주의하세요.
8,"""에이템포미디어에서 출간 된 싱숑 작가님의 작품을 슬리피-C 작가님이 웹툰화한 작품의 단행본을 구매하였습니다. 웹소설 원작은 읽지 않았지만, 웹툰이 인기가 많아서 관심을 가지고 있던 찰나에 사은품을 위해 일정 금액을 채워야해서 이번 기회에 구매하게 되었습니다. 워낙에 유명한 작품이니 스토리등에 관련하여서는 모두가 잘 알고 있을 것이라 생각 됩니다. 읽어보니 왜 인기가 있는지 알 것 같습니다. """
9,"""에이템포미디어에서 출간 된 싱숑 작가님의 작품을 슬리피-C 작가님이 웹툰화한 작품의 단행본을 구매하였습니다. 웹소설 원작은 읽지 않았지만, 웹툰이 인기가 많아서 관심을 가지고 있던 찰나에 사은품을 위해 일정 금액을 채워야해서 이번 기회에 구매하게 되었습니다. 읽어보니 왜 인기가 있는지 알 것 같습니다. 이제 4권이 나왔는데 아마 꽤나 긴 장편이 될 것 같아 마음의 준비를 하고 모아야겠습니다. """
10,"""전지적 독자시점 1권 싱숑원작 작품입니다.주위의 추천으로 구매하게 된 책입니다.엄청난 유명작인 건 알지만 원작을 보지 않고 이렇게 책으로 접하였는데요,많은 분들이 캐릭터에 대한 호불호가 있는 것 같더라구요.저는 원작을 보지 않아서 글 분위기라던지 그런걸 못 느껴서 캐릭터 이미지가 괜찮다고 느꼈습니다.초입부 내용이라 앞으로 전개를 지켜봐야겠어요."""
11,전지적 독자 시점 2권 싱숑원작 작품입니다.이 작품은 주변의 추천으로 구매를 하게 되었는데 아직도 초판이 남아 있는 걸로 보아 인쇄를 좀 많이 찍어나 싶습니다.해외판보다는 많이 아쉬운 구성인데 요즘 우리나라 웹툰임에도 국내 독자들 보다해외 독자들을 더 신경 써주면서 가격대비 굿즈 구성도 좋지도 않게 나옵니다.그래도 부록이 없는 것 보다는 낫긴합니다.그림도 좋아서 눈이 즐겁네요.
12,그림이 참 아름다워요. 소설로 소장하고 싶지만 종이질이 너무 않좋단 말이 있어서..그냥 코믹스만 소장하는걸로.. ㅎㅎㅎㅎ담권 언제 나올지 너무 기대됩니다..^^웹소설 사던곳에서 구매하던 중에 판매중지라 다 소장을 못해서 뒷 내용이 어떤지 못봐서 아쉬워요. 일단 웹툰도 안보고 그냥 소장해야겠다는 마음이 퐁퐁.. ㅋ코믹스판은 종이질도 표지도 예쁘고 좋아요.올칼라인게 정말 신기방기.옛날 라때는 칼라는 특별편 이런것만 칼라로 있었는데 말이죠..
13,이 리뷰는 에이템포미디어 출판사에서 출간한 전지적 독자 시점 3 일반판 리뷰입니다.본 리뷰는 스포일러가 포함될 수 있으니 스포일러를 원하지 않으시다면 주의하여 주시기 바랍니다.딸이 부탁해서 구입했어요..워낙 유명한 작품이라 제목은 알고있었는데..너무나 방대한 양에 시도조차 못하다가딸 덕에 접하게 되었네요.사실 웹툰보다는 소설을 더 좋아해서 소설로 접해보고 싶었는데..일단 웹툰을 구한 관계로 잘 봤습니다.
14,"""원작이 한창 연재 중에는 소문만 들었다가 완결 난 뒤에 친구의 추천으로 읽게 된 소설이었는데, 웹툰으로 나온다는 말에 또 이 작품까지 구매하게 되었습니다. 제가 예상했던 그림체와는 조금 달랐지만, 어쩌면 그래서 더 신선하게 볼 수 있었던 작품인 듯합니다. 이미 내용은 알고 있기에 약간 무감할 수도 있던 장면을 새로운 느낌으로 볼 수 있었으니까요. 다음 권도 기대하겠습니다."""
15,"""원작인 소설이 워낙 대박을 친 대메이저 작이고 저도 그 매력에 빠진 독자 중 한명이라 솔직히 웹툰에 대한 기대도 컸었는데, 이 정도면 나름 원작의 매력을 잘 뽑은 각색과 작화라고 생각해서 만족스러웠습니다. 각 인물들 포인트도 잘 잡은 것 같고 활자와 제 상상으로만 이루어졌던 존재들이 좀 더 생생하게 와닿아서 좋았어요. 조금 아쉬운 부분들도 있었지만 꾸준히 볼 것 같습니다."""
16,원작을 정말 좋아해서 웹툰 나온다는 이야기를 듣고 굉장히 기대가 컸었습니다. 그리고 기대했던 만큼 잘 뽑힌 웹툰 중 하나라고 생각해요. 아쉬운 점이 없었다고는 못하겠지만 작화도 괜찮고 각색도 나름 웹툰에 잘 맞게 적용된 것 같습니다. 웹툰 단행본 나온다는 소식에 기다렸다가 바로 질렀던 건데 후회는 없어요. 활자 너머와 제 상상속에서만 존재하던 것들이 눈 앞에 생생히 잘 구현된 느낌이라 즐겁게 잘 봤습니다. 다만 이미 웹툰 연재 분을 완소하고 있기도 하고 원작 자체가 워낙 장편이다 보니 웹툰화 특성상 권수의 압박이 장난이 아닐 것 같다는 생각 때문에 웹툰 단행본을 계속 모을지는 잘 모르겠어요 ㅠㅠ
17,전지적 독자시점 2권입니다 전지적 독자시점은 워낙 유명해서 알고는 있었는데 소설의 양이 너무 방대해서 업두를 못내고 있었는데 어느날 웹툰이 나왔다고 해서 잘됐다 하면서 웹툰을 봤는데 그림체랑 내용이 정말 찰떡이여서 하루만에 다 봐버렸네요 ㅎㅎ 그 다음 내용이 너무 궁금해서 바로 소설도 질러서 봐버렸네요 ㅎㅎ 진짜 사람들이 왜 그렇게 좋아하는지 알 것 같습니다 ㅎ 웹툰이 나와서 바로 질렀습니다 다음권이랑 소설도 단행본이 나오면 같이 지를 생각입니다 ㅎ
18,전지적 독자시점 1권입니다 예전부터 많이 들어왔고 인기도 엄청나다는 걸 알고있었는데 소설로는 화수가 너무 많아서 업두를 못내고 있었는데 웹툰으로 나와서 바로 보기 시작했습니다 그런데 내용이 너무 재밌어서 웹툰 현재편까지 다보고 소설로 정주행하기 시작했습니다 완결이 난 소설이라 다음화를 기다릴 필요도 없어서 너무 좋았습니다 그러다가 단행본이 나오고 심지어 부록까지 취향이여서 바로 구매했습니다 ㅎㅎ 소설화수가 너무 많아서 웹툰으로는 완결나는데 몇 십년은 걸릴것 같지만 같이 달리겠습니다 ㅎㅎ
19,"""슬리피-c 글그림, 싱숑 원작의 웹툰 전지적 독자시점2 리뷰입니다.1권을 읽고 2권을 얼른 읽었네요.그림체가 너무 취향 저격이고, 글이 아니라 그림이니 더 가독성이 좋았던 것 같습니다.캐릭터마다 생명을 불어넣으니 다들 주요 인물들 같고, 기억도 잘 되는데요. 무엇보다 그 내용이 눈에 보이는 것 같아 아주 시각효과가 좋은 것 같습니다.3권, 4권도 얼른 출간되었으며 좋겠습니다."""
20,"""싱숑 원작, 슬리피-c 글그림의 전지적 독자 시점 1권 리뷰입니다.남자주인공 너무 잘생기게 잘 그려주셔서 몰입감이 최고였어요.남자주인공 뿐만 아니라 인물들을 얼마나 예쁘고 잘생기게 그려주셨는지 아주 즐거웠습니다.또한 판타지를 현실로 구현하고, 특히나 전투신은 잘 그리셔서 어렵지 않게 술술 읽었습니다.그림이 취향저격이라 너무 재밌게 읽었구요, 원작도 많이 기대가 됩니다.2권도 빨리 읽어야겠어요. """
21,"""                째진다. 초판 세트 구매 시에만 주는 줄로 잘못 알고 있었는데 캐릭터 카드가 동봉돼 있다.지금 보면 버젓이 상품명 옆에 그것도 파랗게 강조돼서 쓰여 있구만 왜 몰랐는지 모를 일이다.대대손손 물려줄 거다. 유중혁 잘생겼고, 김독자 잘생겼고, 재밌고, 재밌고, 구매자라면 모두가 입을 모아 칭찬하는 표지 재질은 말할 것도 없고. (같은 시리즈끼리 부대끼면 조금만 공간이 딱 맞아도 집어넣기 힘겨울 것이 보이지만, 아무래도 좋다.)웹툰 완결까지 얼마나 남았을까 생각하면 아주 암담하다. 또 모두가 목이 빠져라 바라보고 있는 소설 단행본은 언제 나와 주려나. 웹소설로만 장장 500화니까 벽돌 같이 생겨서는 열 권도 거뜬히 넘길 텐데 나오면 모으고 나오면 모으다가 대체 언제 끝이 나려나.설렌당 ><*어디까지나 주관적인 의견. 선택은 리뷰 뒤지러 온 본인 몫."""
22,만화 그림이 퀄리티가 너무 좋다. 소설을 다 읽고 소설로 빙의한 독자씨가 게임을 장악하고 나가는 과장들이 흥미롭다. 과거로 회기해서 복수하는 것 게임 속으로 들어가는 것. 소설속으로 들어가는 것 참 다양한데 이 웹툰은 그걸 잘 끌고 간다.판무 증에서 재미있는 편 서을에 있는 역들이 나와서 현장감을 더해준다. 함께 하는 동료들도 서서히 특기가 생기면서 도움이 되어가는 중
23,이건 ㄹㅇ 갓띵작 진짜 꼭 읽으셈 근데 이거 표지재질이 ㄹㅇ 남들말대로 뭔가 독특함 벨벳재질???암튼 그럼 이런 표지 처음 만져봄근데 퀄 겁나 높고 그 만화책은  그 배열이 잘되어있어야 하잖슴?이거 보기 편하고 완전 딱딱 맞춰져있어서 진짜 좋음 ㄹㅇㄹㅇ이거 왜 안읽어??진짜 추천하는 시리즈....아직도 전독시 안읽어본거 아니지...........?에이 설마 ㅋㅋㅋ 아무튼 꼭 읽어보셈 후회안함 ㄹㅇ 내 인생작....그림체 존잘이라구여ㅠㅠㅠ
24,전지적 독자 시점 1권 (슬리피-C그림/UMI 각색/싱숑 원저)에이템포미디어 | 2020년 12월 22일네이버 웹툰으로 보다가 너무 재미있어서 책으로도 구매했는데 웹툰이랑 보는 방식이 다르다보니 또 새롭네요.표지도 다른책들이랑 다른 느낌이라 괜찮고 소장용으로 사기 딱 좋은 것 같아요. 다음 권도 구매할 생각입니다:)
25,"""원작을 재밌게 봐서 만화도 구입했는데 각색이랑 그림도 완벽해서 재밌게 봤네요ㅠㅠ소설에서는 상상만 했던 묘사나 주인공들 표정을 만화로 보는 재미가 있었어요 ㅎㅎ소설이 현실이 된 세계에서 살아남기 위해 고군분투하는 주인공들이 인상깊었습니다. 초반이라 지하철에서 생명 죽여야하는 퀘스트, 그리고 지하철 벗어나는 그런 장면만 담겨있는데 웹소 흐름 제대로 따라가서 좋았어요."""
26,"""하나의 세상이 멸망하고 다른 세계가 태어나려 하고 있었다. 그리고 나는, 이 세계의 결말을 아는 유일한 독자다. 한 가지는 확실하다. 지금 이 글을 읽는 당신이 살아남을 거란 사실.전지적 독자 시점 1권 리뷰입니다 진짜 소설을 너무 재밌게 읽어서 웹툰으로 나온다는 소식에 넘 즐거웠고 재밌게 잘보고 있었는데 웹툰소장본도 있다니 진짜 넘 행복해요 제가 생각만 하던 이야기가 눈앞에서 그려지니까 볼떄마다 넘좋아요 """
27,"""놈이 온다. 이 이야기의 ‘진짜’ 주인공. 나는 네놈을 좋아했고, 싫어했고, 원망했고, 응원했다. 그렇게 3천 편의 이야기를 함께했다.전지적 독자 시점 2권 리뷰입니다. 1권에 이어 2권도 소장하게되어 너무 좋아요 원래 재탕을 좋아해서 웹툰말고도 소장본을 구매하게되었는데 후회 없습니다 아직 너무 초반이라 이런저런 할말이 없지만 앞으로 너무 기대됩니다 """
28,"""눈부시게 아름다운 광채가, 그녀의 몸에서 피어오르고 있었다. 내가 죽인다고 했죠. 지금부터 당신은 잠깐 물러나요. 이놈들은 내 몫이니까. 나는 당신의 칼이 되길 주저하지 않을 거예요.전지적 독자 시점 3권 일반판을 구매 했습니다 기대하던 만큼 나와서 너무 좋아요아직 나올 이야기가 많아서 아직은 프롤로그이지만 소설에서 보던 이야기가 그림으로 보이니 읽을떄마다 너무 새로워서 기분 좋아요"""
29,사실 소설은 전혀 보지 못하고 해당 웹툰을 접하였습니다. 회귀물을 처음 접하였는데 아주 재밌게 보았습니다. 요즘이런 회귀물들이 아주많지만 단연 스토리도 탄탄하고 떡밥 회수도 잘하고 그림체도 좋고 단연 탑급 작품입니다. 얼른얼른 완결까지 후다다다다닥 나왔으면 좋겠습니다. 얼른얼른 완결까지 후다다다다닥 나왔으면 좋겠습니
30,"""                총 연재 횟수 3,149회평균 조회 수 1.9회평균 댓글 수 1.08개10년 넘게 나 혼자 읽어온 소설의 완결을 본 그날.소설 속 세계는 현실이 되었고, 이 세계의 결말을 알고 있는 유일한 독자가 되었다.이것은 독자(讀者)의 설화. 동시에, 독자(獨子)의 설화.단, 한 사람의 독자를 위한 이야기다.[지금부터 메인 시나리오가 시작됩니다.]눈부시게 아름다운 광채가,그녀의 몸에서 피어오르고 있었다.내가 죽인다고 했죠.지금부터 당신은 잠깐 물러나요.이놈들은 내 몫이니까.나는 당신의 칼이 되길주저하지 않을 거예요.생각보다 3권이 빨리 나왔다는 생각이 드네요내용이야 네이버웹툰 정주행 하면 알 수 있는 것이고, 이런 식으로 계속 빨리 나와주면 좋겠네요"""
31,소설을 읽지 않고 웹툰 단행본을 구매했는데너무 마음에 듭니다!!책 표지도 한 번도 만져보지 못한벨벳(?) 같은 특이한 소재여서 신기했는데지문이 좀 잘 묻어서 살짝 아쉬웠어요ㅠ무엇보다 그림체가 너무 제 취향이라 마음에 듭니다!!단행본 안에 포스터도 있어서 너무 좋아요!!또 내용 역시 흥미를 끄는 내용이라 다음 편이너무 기대됩니다.다음편도 꼭 구매해야겠네요!!!!!
32,전지적 독자시점 1슬리피-C 글그림/UMI 각색/싱숑 원저유명한 소설인건 알고있었는데네이버에서 연재중인것도 보고책도 구매하게 되었어요김독자 너무 좋아서..스토리그림 너무 좋네요 소설처럼디테일이 나와있는 원작을그리으로 만화로 그리기가힘들다고 들었는데 작가님 수고많으셨습니다 다음권도 기대해요우리중혁이 좀 더 넣어주세요 ㅋㅋ
33,사실 소설로는 보지 못했고 웹툰을 보고 너무 재미있어서 단행본 책으로 나오길 기대했던 책입니다. 핸드폰으로 보는 것만큼 화질이 선명하진 않지만 책으로 보는 것은 또 다른 느낌이 들어서 좋은 것 같습니다. 스토리 전개 말이 필요없고 그림도 너무 깔끔하고 이뻐서 소장용으로 충분히 가치가 있는 것 같아요. 궁금해서 어서 다음권이 빨리 나오길 기다리고 있습니다.
34,"""                소설로 아는 내용을 만화로 새로 보니 새롭네요. 만화라서 좀 더 부드러운 느낌으로 캐릭터들이 표현되는 느낌인데 그 와중에도 원작에서 느꼈던 씁쓸한 분위기? 그런것들이 잘 표현되서 너무 좋았어요 ㅎㅎ그림체도 다들 잘생기고 이뻐서 좋네요. 그리고 개인적인 재발견... 초반에 유상아, 정희원은 원작에서 그렇게 임팩트가 없었는데 만화로 다시 보니 초반부터 존멋 캐릭터로 나와서 좋았어요.아직 전개가 갈 길이 먼데 남은 이야기들은 만화로 어떻게 표현될지도 기대됩니다.                """
35,전지적 독자 시점 2권 리뷰입니다. 소설 단행은 아니고 웹툰 단행이예요. 배송은 빠르게 아무 이상없이 잘 왔네요! 확실히 스크롤 웹툰이랑 단행본 컷 편집된 것을 보는 것은 생각보다 차이가 크네요. 물론 웹툰도 꼬박 전 화 소장하면서 보는 중!! 살짝 아쉬운건 제가 금전적인 이유로 초판을 구매하지 못했다는 겁니다 ㅜㅜㅜ 1권만 다른 곳에서 초판 구매 했네요. 정말 캐디가 하나하나 제가 생각한 것과 비슷하고 작화도 정말 탑급입니다. 소설도 다 샀는데 아직 못보고 있어요 ㅋㅋㅋ 과연 이것도 얼마가 연재할 지 모르겠네요! 빠르게 완결 되었으면 좋겠네요
36,사실 소설은 전혀 보지 못하고 해당 웹툰을 접하였습니다. 회귀물을 처음 접하였는데 아주 재밌게 보았습니다. 요즘이런 회귀물들이 아주많지만 단연 스토리도 탄탄하고 떡밥 회수도 잘하고 그림체도 좋고 단연 탑급 작품입니다. 얼른얼른 완결까지 후다다다다닥 나왔으면 좋겠습니다. 얼른얼른 완결까지 후다다다다닥 나왔으면 좋겠습니
37,사실 소설은 전혀 보지 못하고 해당 웹툰을 접하였습니다. 회귀물을 처음 접하였는데 아주 재밌게 보았습니다. 요즘이런 회귀물들이 아주많지만 단연 스토리도 탄탄하고 떡밥 회수도 잘하고 그림체도 좋고 단연 탑급 작품입니다. 얼른얼른 완결까지 후다다다다닥 나왔으면 좋겠습니다. 얼른얼른 완결까지 후다다다다닥 나왔으면 좋겠습니다.
38,매니아층이 탄탄한 소설을 웹툰화 한다는것은 쉽지 않은 선택인 것 같습니다. 기존의 팬층을 납득시켜야하는 과정이 존재하기 때문인데요. 저는 소설 전지적독자시점을 읽지 않고 웹툰을 먼저 읽기로 결심했습니다. 왜냐면 초판부록을 꽤 빵빵하게 챙겨주더라구요. 종이책덕후는 초판부록이라면 놓치고 싶지 않습니다. 긴 예판시간을 지나 받아본 전독시는 생각보다 작화 퀄리티가 뛰어나면 재미난 스토리를 가지고 있습니다. 세상이 명망하고 또 다른 세계가 태어나는 그 과정을 유일하게 인식하고 결말까지 아는 인물인 ‘독자’ 가 주인공이라니 너무나도 신박하잖아요. 왜 인기가 많은지 납득이 갑니다. 웹툰으로 꾸준히 본 후 소설도 시간이 나면 읽어 볼 생각입니다.
39,드디어 전독시 웹툰 단행본이 나오네요. 소설 단행본이 더 먼저 나오길 기대했지만 웹툰 단행본도 너무 좋습니다. 실물 배송도 손상없이 무사히 도착했습니다. 2권도 세로 스크롤 형식의 웹툰을 가로로 단행본 형식으로 편집하면서 깔끔하게 잘 마무리하신 거 같고요. 김컴 포토카드 너무너무 같고 싶어서 초판일 때 구매했습니다. 겉표지 재질이 좀 독특하긴 한데 별 지장 없어요.
